dataset,indicator,year,value,role,source_note
IIEQI_annual,PISA Reading,2022,359.0,annual_index_input,PISA 2023-2025 are carry-forward of observed 2022; AN/APK/APS/equity are annual inputs
IIEQI_annual,PISA Mathematics,2022,366.0,annual_index_input,PISA 2023-2025 are carry-forward of observed 2022; AN/APK/APS/equity are annual inputs
IIEQI_annual,PISA Science,2022,383.0,annual_index_input,PISA 2023-2025 are carry-forward of observed 2022; AN/APK/APS/equity are annual inputs
IIEQI_annual,AN Literacy,2022,59.49,annual_index_input,PISA 2023-2025 are carry-forward of observed 2022; AN/APK/APS/equity are annual inputs
IIEQI_annual,AN Numeracy,2022,45.24,annual_index_input,PISA 2023-2025 are carry-forward of observed 2022; AN/APK/APS/equity are annual inputs
IIEQI_annual,APK Tertiary,2022,31.16,annual_index_input,PISA 2023-2025 are carry-forward of observed 2022; AN/APK/APS/equity are annual inputs
IIEQI_annual,APS 16-18,2022,72.88,annual_index_input,PISA 2023-2025 are carry-forward of observed 2022; AN/APK/APS/equity are annual inputs
IIEQI_annual,Urban-Rural Gap,2022,6.75,annual_index_input,PISA 2023-2025 are carry-forward of observed 2022; AN/APK/APS/equity are annual inputs
IIEQI_annual,GPI,2022,1.044,annual_index_input,PISA 2023-2025 are carry-forward of observed 2022; AN/APK/APS/equity are annual inputs
IIEQI_annual,PISA Reading,2023,359.0,annual_index_input,PISA 2023-2025 are carry-forward of observed 2022; AN/APK/APS/equity are annual inputs
IIEQI_annual,PISA Mathematics,2023,366.0,annual_index_input,PISA 2023-2025 are carry-forward of observed 2022; AN/APK/APS/equity are annual inputs
IIEQI_annual,PISA Science,2023,383.0,annual_index_input,PISA 2023-2025 are carry-forward of observed 2022; AN/APK/APS/equity are annual inputs
IIEQI_annual,AN Literacy,2023,68.13,annual_index_input,PISA 2023-2025 are carry-forward of observed 2022; AN/APK/APS/equity are annual inputs
IIEQI_annual,AN Numeracy,2023,62.51,annual_index_input,PISA 2023-2025 are carry-forward of observed 2022; AN/APK/APS/equity are annual inputs
IIEQI_annual,APK Tertiary,2023,31.45,annual_index_input,PISA 2023-2025 are carry-forward of observed 2022; AN/APK/APS/equity are annual inputs
IIEQI_annual,APS 16-18,2023,73.07,annual_index_input,PISA 2023-2025 are carry-forward of observed 2022; AN/APK/APS/equity are annual inputs
IIEQI_annual,Urban-Rural Gap,2023,6.1,annual_index_input,PISA 2023-2025 are carry-forward of observed 2022; AN/APK/APS/equity are annual inputs
IIEQI_annual,GPI,2023,1.042,annual_index_input,PISA 2023-2025 are carry-forward of observed 2022; AN/APK/APS/equity are annual inputs
IIEQI_annual,PISA Reading,2024,359.0,annual_index_input,PISA 2023-2025 are carry-forward of observed 2022; AN/APK/APS/equity are annual inputs
