"Variant","Gap_rate","Scenario","Year","D3","IIEQI"
"Main: 2009-2023 rate",-6.36598464894228,"Moderate",2029,70.7404371135038,77.8888028305883
"Main: 2009-2023 rate",-6.36598464894228,"Moderate",2045,87.7243773271172,87.800659784011
"Main: 2009-2023 rate",-6.36598464894228,"Optimistic",2029,71.7214351603788,80.9620638680126
"Main: 2009-2023 rate",-6.36598464894228,"Optimistic",2045,90.4105966630334,88.4722146179901
"2014-2023 rate",-4.67980637547136,"Moderate",2029,69.1859590175709,77.5001833066051
"2014-2023 rate",-4.67980637547136,"Moderate",2045,84.5786998727067,87.0142404204084
"2014-2023 rate",-4.67980637547136,"Optimistic",2029,70.1669570644459,80.5734443440294
"2014-2023 rate",-4.67980637547136,"Optimistic",2045,87.2649192086228,87.6857952543874
"2009-2025 rate",-3.90481198157916,"Moderate",2029,68.4432597343187,77.314508485792
"2009-2025 rate",-3.90481198157916,"Moderate",2045,82.7365244263468,86.5536965588184
"2009-2025 rate",-3.90481198157916,"Optimistic",2029,69.4242577811937,80.3877695232163
"2009-2025 rate",-3.90481198157916,"Optimistic",2045,85.422743762263,87.2252513927975
"No equity recovery (held at 2025)",0,"Moderate",2029,63.3589743589744,76.0434371419559
"No equity recovery (held at 2025)",0,"Moderate",2045,63.3589743589744,81.7093090419753
"No equity recovery (held at 2025)",0,"Optimistic",2029,63.3589743589744,78.8714486676615
"No equity recovery (held at 2025)",0,"Optimistic",2045,63.3589743589744,81.7093090419753
