"Lower","Upper","Indicator","Status_2029","Status_2045"
1.5,4,"PISA Reading","Trend Reversal","Trend Reversal"
1.5,4,"PISA Mathematics","Trend Reversal","Trend Reversal"
1.5,4,"PISA Science","Trend Reversal","Trend Reversal"
1.5,4,"AN Literacy","Internal Anomaly","Internal Anomaly"
1.5,4,"AN Numeracy","Internal Anomaly","Internal Anomaly"
1.5,4,"APK Tertiary","Significant Acceleration","Significant Acceleration"
2,5,"PISA Reading","Trend Reversal","Trend Reversal"
2,5,"PISA Mathematics","Trend Reversal","Trend Reversal"
2,5,"PISA Science","Trend Reversal","Trend Reversal"
2,5,"AN Literacy","Internal Anomaly","Internal Anomaly"
2,5,"AN Numeracy","Internal Anomaly","Internal Anomaly"
2,5,"APK Tertiary","Significant Acceleration","Moderate Acceleration"
2.5,6,"PISA Reading","Trend Reversal","Trend Reversal"
2.5,6,"PISA Mathematics","Trend Reversal","Trend Reversal"
2.5,6,"PISA Science","Trend Reversal","Trend Reversal"
2.5,6,"AN Literacy","Internal Anomaly","Internal Anomaly"
2.5,6,"AN Numeracy","Internal Anomaly","Internal Anomaly"
2.5,6,"APK Tertiary","Moderate Acceleration","Moderate Acceleration"
